N,p,runtime,profile
16,1,0.29596180000226013,enhanced
16,2,0.6799239999963902,enhanced
16,5,2.2716182000003755,enhanced
16,10,6.3840769000089495,enhanced
18,1,0.9214632999937749,enhanced
18,2,3.2300900000118418,enhanced
18,5,10.203614800004289,enhanced
18,10,42.32736609999847,enhanced
20,1,4.953957400008221,enhanced
20,2,23.650709599998663,enhanced
20,5,48.59914320000098,enhanced
20,10,273.67095650000556,enhanced
22,1,22.49608179999632,enhanced
22,2,93.05027609999524,enhanced
22,5,281.4386940999975,enhanced
22,10,699.6581135999877,enhanced
